"Type","Treatment Name","Group Name","Item Name","Description","Retail Price","Special Price","Duration"
"Service","Blow & Styling","Blow & Styling","Hair Styling (Catok)","","35.000,00","0,00","30min"
"Service","Blow & Styling","Blow & Styling","Spiral Hair Styling","","45.000,00","0,00","45min"
"Service","Hair Cut","Hair Cut","Haircut Layer Modern","","50.000,00","0,00","45min"
"Service","Hair Cut","Hair Cut","Haircut Yongen","","50.000,00","0,00","40min"
"Service","Hair Spa & Treatment","Hair Spa & Treatment","Pakai Vitamin","","5.000,00","0,00","5min"
"Service","Hair Cut","Hair Cut","Cut Bangs","","10.000,00","0,00","5min"
"Service","Hair Spa & Treatment","Hair Spa & Treatment","Creambath Makarizo","","50.000,00","0,00","30min"
"Service","Hair Spa & Treatment","Hair Spa & Treatment","Hairmask CBD / KERATIN","","70.000,00","0,00","1h"
"Service","Hair Spa & Treatment","Hair Spa & Treatment","Hair Wash","","20.000,00","0,00","15min"
"Service","Hair Spa & Treatment","Hair Spa & Treatment","Jasa Hairmask & Creambath","","40.000,00","0,00","30min"
"Service","Coloring & Highlight","Coloring & Highlight","Full Bleaching","","250.000,00","0,00","30min"
"Service","Blow & Styling","Blow & Styling","Spiral Extention","","55.000,00","0,00","30min"
"Service","Blow & Styling","Blow & Styling","Catok Blow Extention","","45.000,00","0,00","30min"
"Service","Hair Cut","Hair Cut","Haircut Oval Layer","","50.000,00","0,00","20min"
"Service","Coloring & Highlight","Coloring & Highlight","Colouring Extension","","400.000,00","0,00","30min"
"Service","Perawatan Badan & Wajah","Perawatan Badan & Wajah","Massage Body 60 Menit","","120.000,00","0,00","1h"
"Service","Perawatan Badan & Wajah","Perawatan Badan & Wajah","Body Scrub 40 Menit","","100.000,00","0,00","40min"
"Service","Hair Spa & Treatment","Hair Spa & Treatment","Hairmask Chocolate","","50.000,00","50.000,00","30min"
"Service","Perm & Rebonding","Perm & Rebonding","Smoothing Medium","","300.000,00","0,00","4h"
"Service","Coloring & Highlight","Coloring & Highlight","Colouring","","250.000,00","0,00",""
"Service","Coloring & Highlight","Coloring & Highlight","Highlight","","300.000,00","0,00","2h"
"Service","Hair Spa & Treatment","Hair Spa & Treatment","Hairmask Matrix","","80.000,00","0,00","30min"
"Service","Hair Spa & Treatment","Hair Spa & Treatment","Hairmask Biolage","","80.000,00","0,00","30min"
"Service","Blow & Styling","Blow & Styling","Pakai Hair spray","","5.000,00","0,00","5min"
"Service","Coloring & Highlight","Coloring & Highlight","Jasa Cat","","120.000,00","0,00","30min"
"Service","Perm & Rebonding","Perm & Rebonding","Smoothing Long","","400.000,00","0,00","1h 50min"
"Service","Hair Cut","Hair Cut","Short Bob Cut","","40.000,00","0,00","30min"
"Service","Hair Spa & Treatment","Hair Spa & Treatment","Hairmask Keratin Inaura","","70.000,00","0,00","30min"
"Service","Hair Spa & Treatment","Hair Spa & Treatment","Creambath Inaura","","40.000,00","0,00","30min"
"Service","Hair Spa & Treatment","Hair Spa & Treatment","Hair mask Strawbery","","50.000,00","0,00","30min"
"Service","Hair Spa & Treatment","Hair Spa & Treatment","Hairmask Ketombe","","50.000,00","0,00","30min"
"Service","Lainnya","Lainnya","Pakai Shampo","","5.000,00","0,00","5min"
